Location,Price,Bedrooms,Bathrooms,Size
Santa Maria-Orcutt,286500,3,2,1700
Creston,549000,3,2,1701
Paso Robles,249000,3,2,1662
Templeton,550000,3,2,1852
Coalinga,170000,3,2,1320
Paso Robles,225000,3,2,1456
Paso Robles,579900,4,3,3166
Santa Maria-Orcutt,179000,3,2,1200
Los Osos,205000,2,2,1388
Arroyo Grande,995000,4,4,3740
Grover Beach,240000,2,2,1020
Arroyo Grande,975000,4,3,2720
Paso Robles,524900,3,2,2380
Santa Maria-Orcutt,289900,4,3,2400
Arroyo Grande,599000,4,2,1728
Santa Maria-Orcutt,219000,3,2,1131
Atascadero,349000,3,3,2000
Santa Maria-Orcutt,229900,3,3,1900
Santa Maria-Orcutt,315000,3,2,2004
Santa Maria-Orcutt,199000,4,3,1467
Santa Maria-Orcutt,209000,3,2,1520
Cambria,1290000,3,3,2130
Santa Maria-Orcutt,399000,4,3,2300
Paso Robles,370000,4,2,2064
Santa Maria-Orcutt,240000,4,2,1460
Nipomo,159000,4,2,1660
Lompoc,307000,3,2,1594
Santa Maria-Orcutt,279000,4,3,2580
Santa Maria-Orcutt,285000,3,2,2400
Santa Maria-Orcutt,125000,3,2,900
Nipomo,1700000,3,5,4463
Santa Maria-Orcutt,165000,3,2,1204
Santa Maria-Orcutt,437500,3,3,2523
Paso Robles,239900,3,2,1080
Los Osos,648000,3,3,2193
Atascadero,324900,2,2,1426
Santa Maria-Orcutt,240000,3,3,2039
Santa Maria-Orcutt,850000,3,2,2481
Santa Maria-Orcutt,281900,4,3,2357
Santa Maria-Orcutt,399900,4,4,3050
Santa Maria-Orcutt,195000,2,1,811
Morro Bay,1045000,3,3,2100
Oceano,399900,3,2,1487
Cambria,598000,2,3,2219
Lompoc,193450,4,2,1217
Santa Maria-Orcutt,269000,3,3,1780
Paso Robles,199000,2,1,1000
Santa Maria-Orcutt,187900,2,2,980
Grover Beach,275000,2,2,1194
Paso Robles,314000,4,3,1794
